size,threads,run,time_ms
512,1,1,425.155
512,1,2,449.103
512,1,3,439.241
512,1,4,431.754
512,1,5,423.011
512,1,6,430.723
512,1,7,435.344
512,1,8,429.099
512,1,9,418.906
512,1,10,420.365
512,1,11,417.559
512,1,12,413.983
512,1,13,415.804
512,1,14,415.439
512,1,15,414.368
512,1,16,435.455
512,1,17,426.963
512,1,18,428.5
512,1,19,415.266
512,1,20,449.708
512,1,21,439.607
512,1,22,440.002
512,1,23,455.168
512,1,24,437.065
512,1,25,439.655
512,1,26,444.679
512,1,27,440.645
512,1,28,434.954
512,1,29,434.271
512,1,30,446.219
512,1,31,423.438
512,1,32,413.391
512,1,33,419.932
512,1,34,431.248
512,1,35,437.979
512,1,36,419.937
512,1,37,408.248
512,1,38,430.464
512,1,39,432.379
512,1,40,424.994
# avg_ms=429.750525
# std_ms=11.5240737588476
