size,threads,run,time_ms
128,4,1,1.495
128,4,2,1.499
128,4,3,1.495
128,4,4,1.496
128,4,5,1.491
128,4,6,1.495
128,4,7,1.491
128,4,8,1.495
128,4,9,1.497
128,4,10,1.491
128,4,11,1.494
128,4,12,1.488
128,4,13,1.49
128,4,14,1.495
128,4,15,1.501
128,4,16,1.491
128,4,17,1.492
128,4,18,1.493
128,4,19,1.492
128,4,20,1.495
128,4,21,1.496
128,4,22,1.491
128,4,23,1.514
128,4,24,1.491
128,4,25,1.492
128,4,26,1.495
128,4,27,1.505
128,4,28,1.494
128,4,29,1.493
128,4,30,1.5
128,4,31,1.489
128,4,32,1.494
128,4,33,1.499
128,4,34,1.492
128,4,35,1.494
128,4,36,1.497
128,4,37,1.499
128,4,38,1.495
128,4,39,1.489
128,4,40,1.49
# avg_ms=1.494625
# std_ms=0.00477540439957571
